filename,30C,40C,50C,60C,70C,95C,DN_bleach,DN_dry,DN_dry_clean,DN_iron,DN_steam,DN_tumble_dry,DN_wash,DN_wet_clean,DN_wring,bleach,chlorine_bleach,drip_dry,drip_dry_in_shade,dry_clean,dry_clean_any_solvent,dry_clean_any_solvent_except_trichloroethylene,dry_clean_low_heat,dry_clean_no_steam,dry_clean_petrol_only,dry_clean_reduced_moisture,dry_clean_short_cycle,dry_flat,hand_wash,iron,iron_high,iron_low,iron_medium,line_dry,line_dry_in_shade,machine_wash_delicate,machine_wash_normal,machine_wash_permanent_press,natural_dry,non_chlorine_bleach,shade_dry,steam,tumble_dry_high,tumble_dry_low,tumble_dry_medium,tumble_dry_no_heat,tumble_dry_normal,wet_clean,wring
117_jpg.rf.dfaabf775dc014cf6053dd60d2e60107.jpg,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160_jpg.rf.e019241515ad4bed85c53a2fa023d5a4.jpg,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
img100_jpg.rf.e033766fa6160dfda5c22d312130c5c1.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
75_jpg.rf.e01140a62732417f859fa1d6dbbe2112.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
80_jpg.rf.e397248b71e594359d8f86b8c174b43b.jpg,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
care-cleaning-instructions-label-dry-clean-only-in-blue-jacket-made-HR1XH1_jpeg_jpg.rf.e3c614cb66945f87cefc389c344563c9.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3_jpg.rf.e0ad1bd8bd7565519810f0be63ad5433.jpg,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160_jpg.rf.e4d2f154cb752d19308c6104eb575108.jpg,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100_jpg.rf.e4b7c545e3d0d3c9322c5fa89a0743e9.jpg,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109_jpg.rf.e31eee6820a9cae2e7e481a65660aa27.jpg,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64_jpg.rf.dfa1dd0138f29c61108c47ea604d5a88.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
23_jpg.rf.e1d80732a17abb9a7ce054f0ad60fce4.jpg,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
120_jpg.rf.e51bf99231cc592d2515be39dea61889.jpg,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_jpg.rf.e531c0862124af70be72fa934e13ee81.jpg,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
istockphoto-1430946253-612x612_jpeg_jpg.rf.e56f2fa28ac3ff503870451ceafb7181.jpg,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6_jpg.rf.e1eedc38f5530a9ee13125e741d711a9.jpg,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
istockphoto-1248252549-612x612_jpeg_jpg.rf.e563b5e921bcff509dff38642edbf2d7.jpg,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
istockphoto-1319659661-612x612_jpeg_jpg.rf.e4d98e8fdd3fa15b895e98b38abf5a83.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
istockphoto-497947874-612x612_jpeg_jpg.rf.e598e45261e8e739266b5e0ff517c064.jpg,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PXL_20221022_033449029_jpg.rf.e0a509fc257b454c124b85ae7227254e.jpg,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PXL_20221022_034236842_jpg.rf.e0bb9d2278776c5c6f91794e2e0d070c.jpg,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_jpg.rf.e5c8f5acf51e103fa89821af9992ff3e.jpg,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clb-2_png_jpg.rf.e5b570a3f7ccf44ae983697f5999250b.jpg,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162_jpg.rf.e31a97b42e253c04e1df11b509c4e53f.jpg,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116_jpg.rf.e5c13852c16c414671a1d219a4af30e6.jpg,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75_jpg.rf.e6cf9dcc6e9810b945aa4e8c33a33b96.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
